correlation,constant_P_p,correlationship
0.182235417955391,0.2,richness-prevalence
0.494927810090356,0.2,richness-prevalence
0.304834076728817,0.2,richness-prevalence
0.354756436658451,0.2,richness-prevalence
0.11126291729693,0.2,richness-prevalence
0.496699203220268,0.2,richness-prevalence
0.237326967282601,0.2,richness-prevalence
0.462877947237815,0.2,richness-prevalence
0.420772777661586,0.2,richness-prevalence
0.29795183037377,0.2,richness-prevalence
0.387116412894499,0.2,richness-prevalence
0.595699660026488,0.2,richness-prevalence
0.720814114140511,0.2,richness-prevalence
0.102023335578649,0.2,richness-prevalence
0.46039893686388,0.2,richness-prevalence
0.179352230500171,0.2,richness-prevalence
0.649137872942594,0.2,richness-prevalence
0.357101277885902,0.2,richness-prevalence
0.00305737018524819,0.2,richness-prevalence
0.916621238187678,0.2,richness-prevalence
0.437417851931967,0.2,richness-prevalence
-0.138673474454937,0.2,richness-prevalence
0.436415754656969,0.2,richness-prevalence
0.328574167378962,0.2,richness-prevalence
0.62763637188481,0.2,richness-prevalence
0.730766048420743,0.2,richness-prevalence
-0.0627173041967655,0.2,richness-prevalence
0.547570578697031,0.2,richness-prevalence
0.654503565761906,0.2,richness-prevalence
0.651013775159631,0.2,richness-prevalence
0.715063900587371,0.2,richness-prevalence
0.364186813605639,0.2,richness-prevalence
0.0874270710612189,0.2,richness-prevalence
0.471213949096024,0.2,richness-prevalence
0.582003495531522,0.2,richness-prevalence
-0.204841860084278,0.2,richness-prevalence
0.434199845460128,0.2,richness-prevalence
0.625000347104734,0.2,richness-prevalence
-0.116203730488352,0.2,richness-prevalence
0.345352297684026,0.2,richness-prevalence
-0.190248304966925,0.2,richness-prevalence
0.271931073617652,0.2,richness-prevalence
-0.0529408758930595,0.2,richness-prevalence
0.591023552603324,0.2,richness-prevalence
0.386598393214236,0.2,richness-prevalence
0.445519873969654,0.2,richness-prevalence
0.801564055045903,0.2,richness-prevalence
0.170299268462312,0.2,richness-prevalence
0.335578464557488,0.2,richness-prevalence
-0.0785710545391443,0.2,richness-prevalence
0.396909151384949,0.2,richness-prevalence
0.359452306746742,0.2,richness-prevalence
0.0462376896153876,0.2,richness-prevalence
0.722719408912263,0.2,richness-prevalence
0.678014390035113,0.2,richness-prevalence
0.191534270867021,0.2,richness-prevalence
0.33217004827392,0.2,richness-prevalence
0.29310867421213,0.2,richness-prevalence
0.171399624468039,0.2,richness-prevalence
-0.030386723323912,0.2,richness-prevalence
0.314345616807822,0.2,richness-prevalence
0.381421505716668,0.2,richness-prevalence
0.806302220825391,0.2,richness-prevalence
0.289628527308626,0.2,richness-prevalence
0.315792174967379,0.2,richness-prevalence
0.269909182362515,0.2,richness-prevalence
0.687503380870665,0.2,richness-prevalence
0.155664924936712,0.2,richness-prevalence
0.489676508578339,0.2,richness-prevalence
0.485039710692161,0.2,richness-prevalence
0.292205997859333,0.2,richness-prevalence
0.11209209957249,0.2,richness-prevalence
0.411335733511876,0.2,richness-prevalence
0.361916321820324,0.2,richness-prevalence
0.486558798452321,0.2,richness-prevalence
