correlation,constant_P_c,correlationship
0.834354491949406,0.2,richness-prevalence
0.915586651405808,0.2,richness-prevalence
0.901428734777292,0.2,richness-prevalence
0.940425457604989,0.2,richness-prevalence
0.96429122951296,0.2,richness-prevalence
0.90307026953804,0.2,richness-prevalence
0.970543614619891,0.2,richness-prevalence
0.893440612799449,0.2,richness-prevalence
0.925250853338038,0.2,richness-prevalence
0.876741874967363,0.2,richness-prevalence
0.969424776916751,0.2,richness-prevalence
0.846755586422345,0.2,richness-prevalence
0.934128444106013,0.2,richness-prevalence
0.979800831888998,0.2,richness-prevalence
0.935230452928332,0.2,richness-prevalence
0.923203631699145,0.2,richness-prevalence
0.946835014196993,0.2,richness-prevalence
0.874726383142276,0.2,richness-prevalence
0.906810970831995,0.2,richness-prevalence
0.920626877179376,0.2,richness-prevalence
0.977487373567629,0.2,richness-prevalence
0.804266327299532,0.2,richness-prevalence
0.950165738509132,0.2,richness-prevalence
0.904399964388575,0.2,richness-prevalence
0.906310020740578,0.2,richness-prevalence
0.9329100378225,0.2,richness-prevalence
0.950167365752006,0.2,richness-prevalence
0.885491556839633,0.2,richness-prevalence
0.822105425620793,0.2,richness-prevalence
0.876634649262758,0.2,richness-prevalence
0.924954764219408,0.2,richness-prevalence
0.873295605758194,0.2,richness-prevalence
0.975612032812482,0.2,richness-prevalence
0.950697083572341,0.2,richness-prevalence
0.944763160144075,0.2,richness-prevalence
0.932675623619466,0.2,richness-prevalence
0.964765489388131,0.2,richness-prevalence
0.834693419703299,0.2,richness-prevalence
0.931209915810627,0.2,richness-prevalence
0.963132702001272,0.2,richness-prevalence
0.920455273290423,0.2,richness-prevalence
0.809944663970561,0.2,richness-prevalence
0.931320101182456,0.2,richness-prevalence
0.931051767857024,0.2,richness-prevalence
0.913455375513502,0.2,richness-prevalence
0.917370757392955,0.2,richness-prevalence
0.956872069672715,0.2,richness-prevalence
0.896100819444513,0.2,richness-prevalence
0.917854852249502,0.2,richness-prevalence
0.932258895748722,0.2,richness-prevalence
0.91511731745381,0.2,richness-prevalence
0.805947223961254,0.2,richness-prevalence
0.875991782779532,0.2,richness-prevalence
0.751457429134367,0.2,richness-prevalence
0.899547485414352,0.2,richness-prevalence
0.931147137762972,0.2,richness-prevalence
0.936689575650627,0.2,richness-prevalence
0.903804680482595,0.2,richness-prevalence
0.94457176929949,0.2,richness-prevalence
0.92209990749057,0.2,richness-prevalence
0.892450873188441,0.2,richness-prevalence
0.9390599694893,0.2,richness-prevalence
0.880312630476567,0.2,richness-prevalence
0.954771833240277,0.2,richness-prevalence
0.918490606718424,0.2,richness-prevalence
0.949704730246554,0.2,richness-prevalence
0.84314214267962,0.2,richness-prevalence
0.960726288398255,0.2,richness-prevalence
0.909083174565726,0.2,richness-prevalence
0.984470424653698,0.2,richness-prevalence
0.953708565389617,0.2,richness-prevalence
0.939065145513865,0.2,richness-prevalence
0.897910184354454,0.2,richness-prevalence
0.968213119590204,0.2,richness-prevalence
0.958520176399213,0.2,richness-prevalence
0.935080371982699,0.2,richness-prevalence
0.875301759285699,0.2,richness-prevalence
